IDX,PATIENT_DEV_CD,DESC_E,DESC_F,CODE_TYPE_E,CODE_TYPE_F
462,498,E0110 - Decreased Sensitivity,E0110 - Sensibilité réduite,Health Effect,Effet sur la santé
463,499,E0111 - Increased Sensitivity,E0111 - Sensibilité accrue,Health Effect,Effet sur la santé
464,500,E040203 - Local Reaction,E040203 - Réaction locale,Health Effect,Effet sur la santé
465,501,E2111 - Injection Site Reaction,E2111 - Réaction au point d'injection,Health Effect,Effet sur la santé
466,502,E0833 - Red Eye(s),E0833 - Yeux rouges,Health Effect,Effet sur la santé
467,503,E1015 - Gastrointestinal Regurgitation,E1015 - Reflux gastro-intestinal,Health Effect,Effet sur la santé
468,504,Reinfusion (Retired - use 636),Réinfusion (Retiré-utilise 636),Health Effect,Effet sur la santé
469,505,"Renal Disease, End Stage (Retired - use 506)",Maladie du rein en phase terminale (Retiré-utilise 506),Health Effect,Effet sur la santé
470,506,E130501 - Renal Failure,E130501 - Insuffisance rénale,Health Effect,Effet sur la santé
471,507,Reocclusion (Retired - use 1228),Réocclusion (Retiré-utilise 1228),Health Effect,Effet sur la santé
472,508,E0739 - Respiratory Acidosis,E0739 - Acidose respiratoire,Health Effect,Effet sur la santé
473,510,Respiratory Distress (Retired - use 1149),Détresse respiratoire (Retiré-utilise 1149),Health Effect,Effet sur la santé
474,512,E0742 - Respiratory Failure,E0742 - Insuffisance respiratoire,Health Effect,Effet sur la santé
475,513,E0715 - Decreased Respiratory Rate,E0715 - Fréquence respiratoire diminuée,Health Effect,Effet sur la santé
476,514,E0716 - Increased Respiratory Rate,E0716 - Fréquence respiratoire augmentée,Health Effect,Effet sur la santé
477,515,E0834 - Retinal Degeneration,E0834 - Dégénérescence rétinienne,Health Effect,Effet sur la santé
478,516,Rheumatic Heart Disease (Retired - use 636),Cardiopathie rhumatismale (Retiré-utilise 636),Health Effect,Effet sur la santé
479,517,Right Ventricular Dysfunction (Retired - use 1134),Dysfonction ventriculaire droite (Retiré-utilise 1134),Health Effect,Effet sur la santé
480,518,Right Ventricular Failure (Retired - use 1135),Insuffisance ventriculaire droite (Retiré-utilise 1135),Health Effect,Effet sur la santé
481,519,Right Ventricular Hypertrophy (Retired - use 1136),Hypertrophie ventriculaire droite (Retiré-utilise 1136),Health Effect,Effet sur la santé
482,520,Scar Excision (Retired - use 636),Excision de cicatrice (Retiré-utilise 636),Health Effect,Effet sur la santé
483,521,E1715 - Scar Tissue,E1715 - Tissu cicatriciel,Health Effect,Effet sur la santé
484,522,F17 - Sedation,F17 - Sédation,Health Effect,Effet sur la santé
485,523,Seizures (Retired - use 1105),Crise convulsive (Retiré-utilise 1105),Health Effect,Effet sur la santé
486,524,"Seizures, Absence (Retired - use 1105)",Crise d'absence (Retiré-utilise 1105),Health Effect,Effet sur la santé
487,526,"Seizures, Focal Motor (Retired - use 1105)",Crise convulsive focale motrice (Retiré-utilise 1105),Health Effect,Effet sur la santé
488,527,"Seizures, Grand Mal (Retired - use 1105)",Crise d'épilepsie de type grand mal (Retiré-utilise 1105),Health Effect,Effet sur la santé
489,528,E0306 - Sepsis,E0306 - Sepsis,Health Effect,Effet sur la santé
490,529,E0307 - Seroma,E0307 - Sérome,Health Effect,Effet sur la santé
491,530,E012206 - Shaking/Tremors,E012206 - Tremblements,Health Effect,Effet sur la santé
492,531,E2336 - Shock,E2336 - Choc,Health Effect,Effet sur la santé
493,532,E210401 - Shock from Patient Lead(s),E210401 - Choc de dérivation,Health Effect,Effet sur la santé
494,533,E040201 - Anaphylactic Shock,E040201 - Choc anaphylactique,Health Effect,Effet sur la santé
495,534,E233601 - Cardiogenic Shock,E233601 - Choc cardiogène,Health Effect,Effet sur la santé
496,535,E233603 - Hypovolemic Shock,E233603 - Choc hypovolémique,Health Effect,Effet sur la santé
497,536,"Shock, Insulin (Retired - use 531)",Choc insulinique (Retiré-utilise 531),Health Effect,Effet sur la santé
498,537,E233604 - Neurogenic Shock,E233604 - Choc neurogène,Health Effect,Effet sur la santé
499,538,E233605 - Septic Shock,E233605 - Choc septique,Health Effect,Effet sur la santé
500,539,"Shock, Surgical (Retired - use 531)",Choc chirurgical (Retiré-utilise 531),Health Effect,Effet sur la santé
501,540,"Shock, Postoperative (Retired - use 531)",Choc postopératoire (Retiré-utilise 531),Health Effect,Effet sur la santé
502,541,"Shock, Traumatic (Retired - use 531)",Choc traumatique (Retiré-utilise 531),Health Effect,Effet sur la santé
503,542,E1716 - Skin Discoloration,E1716 - Décoloration de la peau,Health Effect,Effet sur la santé
504,543,E171601 - Erythema,E171601 - Érythème,Health Effect,Effet sur la santé
505,544,Skin Inflammation (Retired - use 1209),Inflammation cutanée (Retiré-utilise 1209),Health Effect,Effet sur la santé
506,546,E172006 - Urticaria,E172006 - Urticaire,Health Effect,Effet sur la santé
507,547,E1721 - Skin Tears,E1721 - Déchirures cutanées,Health Effect,Effet sur la santé
508,548,E0130 - Sleep Dysfunction,E0130 - Trouble du sommeil,Health Effect,Effet sur la santé
509,549,E0746 - Sneezing,E0746 - Éternuement,Health Effect,Effet sur la santé
510,550,E0747 - Sore Throat,E0747 - Mal de gorge,Health Effect,Effet sur la santé
511,551,ST Segment Depression (Retired - use 154),Dépression du segment ST (Retiré-utilise 154),Health Effect,Effet sur la santé
512,552,ST Segment Elevation (Retired - use 154),Élévation du segment ST (Retiré-utilise 154),Health Effect,Effet sur la santé
513,553,E0748 - Stacking Breaths,E0748 - Hyperinflation dynamique,Health Effect,Effet sur la santé
514,554,Staphylococcus Aureus (Retired - use 287),Staphylococcus aureus (Retiré-utilise 287),Health Effect,Effet sur la santé
515,555,E2337 - Stenosis,E2337 - Sténose,Health Effect,Effet sur la santé
516,556,E0622 - Valvular Stenosis,E0622 - Sténose valvulaire,Health Effect,Effet sur la santé
517,557,E062201 - Aortic Valve Stenosis,E062201 - Sténose aortique,Health Effect,Effet sur la santé
518,558,E062202 - Mitral Valve Stenosis,E062202 - Sténose mitrale,Health Effect,Effet sur la santé
519,559,E062203 - Pulmonary Valve Stenosis,E062203 - Sténose pulmonaire,Health Effect,Effet sur la santé
520,560,E062204 - Tricuspid Valve Stenosis,E062204 - Sténose tricuspidienne,Health Effect,Effet sur la santé
521,561,E1624 - Neck Stiffness,E1624 - Raideur de la nuque,Health Effect,Effet sur la santé
522,562,Suffocation (Retired - use 1144),Suffocation (Retiré-utilise 1144),Health Effect,Effet sur la santé
523,563,Sunset Syndrome (Retired - use 636),Syndrome du soleil couchant (Retiré-utilise 636),Health Effect,Effet sur la santé
524,564,Sweating (Retired - use 135),Transpiration (Retiré-utilise 135),Health Effect,Effet sur la santé
525,565,Swelling (Retired - use 1233),Enflure (Retiré-utilise 1233),Health Effect,Effet sur la santé
526,566,Edema (Retired - use 1233),Oedème (Retiré-utilise 1233),Health Effect,Effet sur la santé
527,567,E0803 - Chemosis,E0803 - Chémosis,Health Effect,Effet sur la santé
528,568,E0807 - Corneal Edema,E0807 - Oedème cornéen,Health Effect,Effet sur la santé
529,570,E080701 - Corneal Stromal Edema,E080701 - Oedème du stroma cornéen,Health Effect,Effet sur la santé
530,571,Swollen Glands (Retired - use 1278),Enflure des glandes (Retiré-utilise 1278),Health Effect,Effet sur la santé
531,572,Swollen Lymph Nodes (Retired - use 1278),Enflure des ganglions (Retiré-utilise 1278),Health Effect,Effet sur la santé
532,573,Syncope (Retired - use 1277),Syncope (Retiré-utilise 1277),Health Effect,Effet sur la santé
533,574,E1632 - Synovitis,E1632 - Synovite,Health Effect,Effet sur la santé
534,575,E060109 - Tachycardia,E060109 - Tachycardie,Health Effect,Effet sur la santé
535,576,E0817 - Excessive Tear Production,E0817 - Larmoiement excessif,Health Effect,Effet sur la santé
536,577,E0129 - Sensitivity of Teeth,E0129 - Sensibilité dentaire,Health Effect,Effet sur la santé
537,578,E1517 - Teratogenic Effects,E1517 - Effets tératogènes,Health Effect,Effet sur la santé
538,579,Test Result (Retired - use 636),Résultats d'analyse (Retiré-utilise 636),Health Effect,Effet sur la santé
539,580,"Patch test, abnormal results of (Retired - use 636)","Test épicutané, résultats anormaux (Retiré-utilise 636)",Health Effect,Effet sur la santé
540,581,F0103 - Unexpected Therapeutic Effects,F0103 - Effets thérapeutiques inattendus,Health Effect,Effet sur la santé
541,582,F0101 - Therapeutic Response Decreased,F0101 - Diminution de la réponse thérapeutique,Health Effect,Effet sur la santé
542,583,F0102 - Therapeutic Response Increased,F0102 - Augmentation de la réponse thérapeutique,Health Effect,Effet sur la santé
543,584,Thrombosis (Retired - use 1131),Thrombose (Retiré-utilise 1131),Health Effect,Effet sur la santé
544,585,Thrombus (Retired - use 1131),Thrombus (Retiré-utilise 1131),Health Effect,Effet sur la santé
545,586,Thyroid Problems (Retired - use 636),Problèmes liés à la thyroïde (Retiré-utilise 636),Health Effect,Effet sur la santé
546,587,Tingling (Retired - use 1118),Picotements (Retiré-utilise 1118),Health Effect,Effet sur la santé
547,588,E0904 - Tinnitus,E0904 - Acouphène,Health Effect,Effet sur la santé
548,589,E1414 - Toxic Shock Syndrome,E1414 - Syndrome du choc toxique,Health Effect,Effet sur la santé
549,593,E0137 - Transient Ischemic Attack,E0137 - Accident ischémique transitoire,Health Effect,Effet sur la santé
550,594,E2117 - Twiddlers Syndrome,E2117 - Syndrome de Twiddler,Health Effect,Effet sur la santé
551,595,E012207 - Twitching,E012207 - Secousse musculaire,Health Effect,Effet sur la santé
552,596,E0836 - UGH (Uveitis Glaucoma Hyphema) Syndrome,E0836 - Syndrome UGH (uvéite-glaucome-hyphéma),Health Effect,Effet sur la santé
553,597,Ulceration (Retired - use 346),Ulcération (Retiré-utilise 346),Health Effect,Effet sur la santé
554,598,F1004 - Underdose,F1004 - Dose insuffisante,Health Effect,Effet sur la santé
555,599,F100401 - Radiation Underdose,F100401 - Sous-dose de rayonnement,Health Effect,Effet sur la santé
556,600,E1306 - Uremia,E1306 - Urémie,Health Effect,Effet sur la santé
557,601,E1308 - Urinary Frequency/Polyuria,E1308 - Fréquence urinaire / pollakiurie,Health Effect,Effet sur la santé
558,602,E1309 - Urinary Retention,E1309 - Rétention urinaire,Health Effect,Effet sur la santé
559,603,E0837 - Uveitis,E0837 - Uvéite,Health Effect,Effet sur la santé
560,604,E1401 - Abnormal Vaginal Discharge,E1401 - Pertes vaginales anormales,Health Effect,Effet sur la santé
561,605,"Vascular System (Circulation), Impaired (Retired - use 636)",Système vasculaire (circulation) défaillant (Retiré-utilise 636),Health Effect,Effet sur la santé
562,606,E0516 - Vasoconstriction,E0516 - Vasoconstriction,Health Effect,Effet sur la santé
563,607,E0517 - Vasodilatation,E0517 - Vasodilatation,Health Effect,Effet sur la santé
564,608,Vaso-Vagal Response (Retired - use 1277),Réaction vasovagale (Retiré-utilise 1277),Health Effect,Effet sur la santé
565,609,Venipuncture (Retired - use 636),Ponction veineuse (Retiré-utilise 636),Health Effect,Effet sur la santé
566,610,E0750 - Ventilator Dependent,E0750 - Patient ventilo-dépendant,Health Effect,Effet sur la santé
567,611,"Ventricle, Abnormality Of (Retired - use 636)","Ventricule , anomalie (Retiré-utilise 636)",Health Effect,Effet sur la santé
568,612,E0105 - Cerebral Ventriculomegaly,E0105 - Ventriculomégalie cérébrale,Health Effect,Effet sur la santé
569,613,E060110 - Ventricular Fibrillation,E060110 - Fibrillation ventriculaire,Health Effect,Effet sur la santé
570,614,Ventricular Tachycardia (Retired - use 575),Tachycardie ventriculaire (Retiré-utilise 575),Health Effect,Effet sur la santé
571,615,Torsades De Pointes (Retired - use 575),Torsades de pointes (Retiré-utilise 575),Health Effect,Effet sur la santé
572,616,Ventricular Flutter (Retired - use 575),Flutter ventriculaire (Retiré-utilise 575),Health Effect,Effet sur la santé
573,617,E0905 - Vertigo,E0905 - Vertige,Health Effect,Effet sur la santé
574,618,E0511 - Perforation of Vessels,E0511 - Perforation d'un vaisseau,Health Effect,Effet sur la santé
575,619,E051101 - Great Vessel Perforation,E051101 - Perforation d'un gros vaisseau,Health Effect,Effet sur la santé
576,620,Virus (Retired - use 296),Virus (Retiré-utilise 296),Health Effect,Effet sur la santé
577,621,E0839 - Visual Impairment,E0839 - Déficience visuelle,Health Effect,Effet sur la santé
578,622,E083902 - Loss of Vision,E083902 - Perte de la vision,Health Effect,Effet sur la santé
579,623,E0838 - Visual Disturbances,E0838 - Perturbations visuelles,Health Effect,Effet sur la santé
580,624,Vitrectomy (Retired - use 636),Vitrectomie (Retiré-utilise 636),Health Effect,Effet sur la santé
581,625,E083803 - Vitreous Floaters,E083803 - Corps flottants du vitré,Health Effect,Effet sur la santé
582,626,E0840 - Vitreous Hemorrhage,E0840 - Hémorragie intravitréenne,Health Effect,Effet sur la santé
583,627,E0841 - Vitreous Loss,E0841 - Perte du vitré,Health Effect,Effet sur la santé
584,628,E081906 - Vitreous Detachment,E081906 - Décollement du vitré,Health Effect,Effet sur la santé
585,629,E0842 - Vitritis,E0842 - Hyalite,Health Effect,Effet sur la santé
586,630,E1032 - Vomiting,E1032 - Vomissements,Health Effect,Effet sur la santé
587,631,Weakness (Retired - use 185),Faiblesse (Retiré-utilise 185),Health Effect,Effet sur la santé
588,632,E1208 - Weight Changes,E1208 - Changement pondéral,Health Effect,Effet sur la santé
589,633,E1723 - Wrinkling,E1723 - Plissement,Health Effect,Effet sur la santé
590,634,E2115 - Post Operative Wound Infection,E2115 - Infection de plaie postopératoire,Health Effect,Effet sur la santé
591,635,E2012 - Wound Infection,E2012 - Infection de plaie,Health Effect,Effet sur la santé
592,636,E2402 - Appropriate Term/Code Not Available,E2402 - Terme/code approprié non disponible,Health Effect,Effet sur la santé
593,637,E2401 - Insufficient Information,E2401 - Renseignements insuffisants,Health Effect,Effet sur la santé
594,638,No Known Device Problem (Retired - use 3003),Aucun problème connu associé à un instrument (Retiré-utilise 3003),Health Effect,Effet sur la santé
595,639,Not Applicable (Retired - use 636),Sans objet (Retiré-utilise 636),Health Effect,Effet sur la santé
596,1001,F08 - Hospitalization or Prolonged Hospitalization,F08 - Hospitalisation ou hospitalisation prolongée,Health Effect,Effet sur la santé
597,1002,F23 - Unexpected Medical Intervention,F23 - INTERVENTION MÉDICALE IMPRÉVUE,Health Effect,Effet sur la santé
598,1003,F2304 - Prophylactic Treatment,F2304 - Traitement prophylactique,Health Effect,Effet sur la santé
599,1004,F05 - Delay to Treatment/Therapy,F05 - Retard dans le traitement ou la thérapie,Health Effect,Effet sur la santé
600,1005,F1902 - Amputation,F1902 - Amputation,Health Effect,Effet sur la santé
601,1006,F1903 - Device Explantation,F1903 - Explantation d'un dispositif,Health Effect,Effet sur la santé
602,1007,F19 - Surgical Intervention,F19 - Intervention chirurgicale,Health Effect,Effet sur la santé
603,1008,Extended surgery time (Retired - use 1010),Durée d'intervention chirurgicale prolongée (Retiré-utilise 1010),Health Effect,Effet sur la santé
604,1009,Revision surgery (Retired - use 1257),Reprise chirurgicale (Retiré-utilise 1257),Health Effect,Effet sur la santé
605,1010,F1908 - Prolonged surgery,F1908 - Chirurgie prolongée,Health Effect,Effet sur la santé
606,1011,F1906 - Modified Surgical Procedure,F1906 - Procédure chirurgicale modifiée,Health Effect,Effet sur la santé
607,1012,Lead replacement surgery (Retired - use 1257),Intervention chirurgicale de remplacement d'électrode (Retiré-utilise 1257),Health Effect,Effet sur la santé
608,1013,F1904 - Device Repositioning,F1904 - Repositionnement d'un dispositif,Health Effect,Effet sur la santé
609,1014,Pneumonectomy (Retired - use 636),Pneumonectomie (Retiré-utilise 636),Health Effect,Effet sur la santé
610,1015,E060101 - Asystole,E060101 - Asystole,Health Effect,Effet sur la santé
611,1016,E0732 - Pleural Empyema,E0732 - Empyème pleural,Health Effect,Effet sur la santé
612,1017,Pseudotumor (Retired - use 636),Pseudotumeur (Retiré-utilise 636),Health Effect,Effet sur la santé
613,1018,Flashes in vision (Retired - use 196),Vision d'éclairs lumineux (Retiré-utilise 196),Health Effect,Effet sur la santé
614,1019,Soft eye (Retired - use 1154),Oeil mou (Retiré-utilise 1154),Health Effect,Effet sur la santé
615,1020,E0620 - Pericarditis,E0620 - Péricardite,Health Effect,Effet sur la santé
616,1021,E1303 - Increased Intra-Peritoneal Volume (IIPV),E1303 - Volume intrapéritonéal augmenté,Health Effect,Effet sur la santé
617,1022,Posterior capsular opacity (PCO) (Retired - use 1323),Opacité capsulaire postérieure (Retiré-utilise 1323),Health Effect,Effet sur la santé
618,1101,E0101 - Balance Problems,E0101 - Problème d'équilibre,Health Effect,Effet sur la santé
619,1102,E010201 - Encephalocele,E010201 - Encéphalocèle,Health Effect,Effet sur la santé
620,1103,E0103 - Cerebral Edema,E0103 - Oedème cérébral,Health Effect,Effet sur la santé
621,1104,E0104 - Cerebral Hyperperfusion Syndrome,E0104 - Syndrome d'hyperperfusion cérébrale,Health Effect,Effet sur la santé
622,1105,E0109 - ConvulsionSeizure,E0109 - Convulsions/crise épileptique,Health Effect,Effet sur la santé
623,1106,E010903 - Epilepsy,E010903 - Épilepsie,Health Effect,Effet sur la santé
624,1107,E010904 - Status Epilepticus,E010904 - État de mal épileptique,Health Effect,Effet sur la santé
625,1108,E011301 - Aphonia,E011301 - Aphonie,Health Effect,Effet sur la santé
626,1109,E011902 - Presyncope,E011902 - Présyncope,Health Effect,Effet sur la santé
627,1110,E0122 - Movement Disorder,E0122 - Trouble du mouvement,Health Effect,Effet sur la santé
628,1111,E0125 - Neuralgia,E0125 - Névralgie,Health Effect,Effet sur la santé
629,1113,E0131 - Speech Disorder,E0131 - Trouble de la parole,Health Effect,Effet sur la santé
630,1114,E013301 - Hemorrhagic Stroke,E013301 - AVC hémorragique,Health Effect,Effet sur la santé
631,1115,E013302 - Ischemia Stroke,E013302 - Accident ischémique cérébral (AIC),Health Effect,Effet sur la santé
632,1117,E013401 - Hyperesthesia,E013401 - Hyperesthésie,Health Effect,Effet sur la santé
633,1118,E013403 - Paresthesia,E013403 - Paresthésie,Health Effect,Effet sur la santé
634,1119,E0135 - Taste Disorder,E0135 - Trouble du goût,Health Effect,Effet sur la santé
635,1121,E013502 - Dysgeusia,E013502 - Dysgueusie,Health Effect,Effet sur la santé
636,1122,E0201 - Bruxism,E0201 - Bruxisme,Health Effect,Effet sur la santé
637,1123,E0203 - Hallucination,E0203 - Hallucination,Health Effect,Effet sur la santé
638,1124,E0205 - Suicidal Ideation,E0205 - Pensées suicidaires,Health Effect,Effet sur la santé
639,1125,E0302 - Coagulation Disorder,E0302 - Trouble de la coagulation,Health Effect,Effet sur la santé
640,1126,E030202 - Thrombocytopenia,E030202 - Thrombopénie,Health Effect,Effet sur la santé
641,1127,E050101 - Ruptured Aneurysm,E050101 - Rupture d'anévrisme,Health Effect,Effet sur la santé
642,1128,E0502 - ArteriosclerosisAtherosclerosis,E0502 - Artériosclérose/athérosclérose,Health Effect,Effet sur la santé
643,1129,E0503 - Embolism/Embolus,E0503 - Embolie/embole,Health Effect,Effet sur la santé
644,1130,E050302 - Foreign Body Embolism,E050302 - Embolie due à un corps étranger,Health Effect,Effet sur la santé
645,1131,E0514 - ThrombosisThrombus,E0514 - Thrombose/thrombus,Health Effect,Effet sur la santé
646,1132,E0515 - Vascular Dissection,E0515 - Dissection vasculaire,Health Effect,Effet sur la santé
647,1133,E060105 - Ectopic Heartbeat,E060105 - Extrasystole,Health Effect,Effet sur la santé
648,1134,E0607 - Cardiovascular Dysfunction/Insufficiency,E0607 - Dysfonctionnement / insuffisance cardiovasculaire,Health Effect,Effet sur la santé
649,1135,E0611 - Heart FailureCongestive Heart Failure,E0611 - Insuffisance cardiaque/insuffisance cardiaque congestive,Health Effect,Effet sur la santé
650,1136,E0616 - Myocardial Hypertrophy,E0616 - Hypertrophie du myocarde,Health Effect,Effet sur la santé
651,1137,E0621 - Valvular InsufficiencyRegurgitation,E0621 - Insuffisance/régurgitation valvulaire,Health Effect,Effet sur la santé
652,1138,E062101 - Aortic Valve InsufficiencyRegurgitation,E062101 - Insuffisance/régurgitation aortique,Health Effect,Effet sur la santé
653,1139,E062102 - Mitral Valve InsufficiencyRegurgitation,E062102 - Insuffisance/régurgitation mitrale,Health Effect,Effet sur la santé
654,1140,E062103 - Pulmonary Valve InsufficiencyRegurgitation,E062103 - Insuffisance/régurgitation pulmonaire,Health Effect,Effet sur la santé
655,1141,E062104 - Tricuspid Valve InsufficiencyRegurgitation,E062104 - Insuffisance/régurgitation tricuspidienne,Health Effect,Effet sur la santé
656,1143,E0707 - Bronchial Hemorrhage,E0707 - Hémorragie bronchique,Health Effect,Effet sur la santé
657,1144,E0710 - Choking (Asphyxia),E0710 - Suffocation (asphyxie),Health Effect,Effet sur la santé
658,1145,E0712 - Cough,E0712 - Toux,Health Effect,Effet sur la santé
659,1146,E0718 - Epistaxis,E0718 - Épistaxis,Health Effect,Effet sur la santé
660,1147,E0737 - Pulmonary Hypertension,E0737 - Hypertension pulmonaire,Health Effect,Effet sur la santé
661,1148,E0741 - Respiratory Arrest,E0741 - Arrêt respiratoire,Health Effect,Effet sur la santé
662,1149,E0743 - Respiratory Insufficiency,E0743 - Insuffisance respiratoire,Health Effect,Effet sur la santé
663,1150,E0751 - Wheezing,E0751 - Respiration sifflante,Health Effect,Effet sur la santé
664,1151,E0805 - Corneal Clouding/Hazing,E0805 - Opacification cornéenne,Health Effect,Effet sur la santé
665,1152,E0818 - Eye Infections,E0818 - Infection oculaire,Health Effect,Effet sur la santé
666,1153,E0820 - Eye Pain,E0820 - Douleur oculaire,Health Effect,Effet sur la santé
667,1154,E0826 - Intraocular Pressure Decreased,E0826 - Pression intraoculaire réduite,Health Effect,Effet sur la santé
668,1155,E0835 - Toxic Anterior Segment Syndrome TASS,E0835 - Syndrome de toxicité dans le segment antérieur (STSA),Health Effect,Effet sur la santé
669,1156,E1007 - Constipation,E1007 - Constipation,Health Effect,Effet sur la santé
670,1157,E1013 - Gastroesophageal Burn,E1013 - Brûlure gastro-oesophagienne,Health Effect,Effet sur la santé
671,1158,E1014 - Gastrointestinal Hemorrhage,E1014 - Hémorragie gastro-intestinale,Health Effect,Effet sur la santé
672,1159,E1016 - Hematemesis,E1016 - Hématémèse,Health Effect,Effet sur la santé
673,1160,E1017 - IntraAbdominal Hemorrhage,E1017 - Hémorragie intra-abdominale,Health Effect,Effet sur la santé
674,1161,E1019 - Melena,E1019 - Méléna,Health Effect,Effet sur la santé
675,1162,E1021 - Pancreatitis,E1021 - Pancréatite,Health Effect,Effet sur la santé
676,1163,E1026 - Rectal Anastomotic Leakage,E1026 - Fuite anastomotique du rectum,Health Effect,Effet sur la santé
677,1164,E1027 - Retroperitoneal Hemorrhage,E1027 - Hémorragie rétropéritonéale,Health Effect,Effet sur la santé
678,1165,E1028 - Salivary Gland Problem,E1028 - Problème de glande salivaire,Health Effect,Effet sur la santé
679,1166,E102801 - Dry Mouth,E102801 - Sécheresse buccale,Health Effect,Effet sur la santé
680,1167,E102802 - Salivary Hypersecretion,E102802 - Hypersalivation,Health Effect,Effet sur la santé
681,1169,E1030 - Stomach Ulceration,E1030 - Ulcère gastrique,Health Effect,Effet sur la santé
682,1170,E1031 - Stomatitis,E1031 - Stomatite,Health Effect,Effet sur la santé
683,1171,E103101 - Glossitis,E103101 - Glossite,Health Effect,Effet sur la santé
684,1172,E1105 - Liver Failure,E1105 - Insuffisance hépatique,Health Effect,Effet sur la santé
685,1173,E120202 - Hyponatremia,E120202 - Hyponatrémie,Health Effect,Effet sur la santé
686,1174,E1305 - Renal Impairment,E1305 - Insuffisance rénale,Health Effect,Effet sur la santé
687,1175,E1307 - Urethral StenosisStricture,E1307 - Sténose/rétrécissement urétral,Health Effect,Effet sur la santé
688,1176,E131001 - Kidney Infection,E131001 - Infection rénale,Health Effect,Effet sur la santé
689,1177,E1402 - Breast DiscomfortPain,E1402 - Douleur/inconfort mammaire,Health Effect,Effet sur la santé
690,1178,E1405 - Dyspareunia,E1405 - Dyspareunie,Health Effect,Effet sur la santé
691,1179,E1406 - Fallopian Tube Perforation,E1406 - Perforation d'une trompe de Fallope,Health Effect,Effet sur la santé
692,1180,E1407 - Genital Bleeding,E1407 - Saignement génital,Health Effect,Effet sur la santé
693,1182,E1413 - Sexual Dysfunction,E1413 - Dysfonction sexuelle,Health Effect,Effet sur la santé
694,1186,E160303 - Multiple Fractures,E160303 - Fractures multiples,Health Effect,Effet sur la santé
695,1187,E160305 - Vertebral Fracture,E160305 - Fracture vertébrale,Health Effect,Effet sur la santé
696,1188,E1605 - Cramps Muscle Spasms,E1605 - Crampe/spasme musculaire,Health Effect,Effet sur la santé
697,1189,E1611 - Hyperextension,E1611 - Hyperextension,Health Effect,Effet sur la santé
698,1190,E161401 - Subluxation,E161401 - Subluxation,Health Effect,Effet sur la santé
699,1191,E1615 - Joint Laxity,E1615 - Laxité articulaire,Health Effect,Effet sur la santé
700,1192,E161601 - Ankylosis,E161601 - Ankylose,Health Effect,Effet sur la santé
701,1193,E161602 - Joint Contracture,E161602 - Contracture articulaire,Health Effect,Effet sur la santé
702,1194,E1617 - Malunion of Bone,E1617 - Cal vicieux,Health Effect,Effet sur la santé
703,1195,E1618 - Metal Related Pathology,E1618 - Pathologie liée aux métaux,Health Effect,Effet sur la santé
704,1196,E1619 - Muscle Hypotonia,E1619 - Hypotonie musculaire,Health Effect,Effet sur la santé
705,1197,E1620 - MuscleTendon Damage,E1620 - Dommage musculaire et tendineux,Health Effect,Effet sur la santé
706,1198,E1625 - Nonunion/Delayed-union Bone Fracture,E1625 - Absence ou retard de consolidation d’une fracture,Health Effect,Effet sur la santé
707,1199,E1628 - Osteomyelitis,E1628 - Ostéomyélite,Health Effect,Effet sur la santé
708,1200,E1634 - Unequal Limb Length,E1634 - Longueur inégale des membres,Health Effect,Effet sur la santé
709,1201,E1702 - Angioedema,E1702 - Oedème de Quincke,Health Effect,Effet sur la santé
710,1202,E1703 - Blister,E1703 - Cloque,Health Effect,Effet sur la santé
711,1203,E170402 - Cryogenic Burn,E170402 - Brûlure cryogénique,Health Effect,Effet sur la santé
712,1204,E170501 - Skin Burning Sensation,E170501 - Sensation de brûlure cutanée,Health Effect,Effet sur la santé
713,1206,E1710 - Localized Skin Lesion,E1710 - Lésion cutanée localisée,Health Effect,Effet sur la santé
714,1207,E1717 - Skin Disorders,E1717 - Affections cutanées,Health Effect,Effet sur la santé
715,1208,E1719 - Skin Infection,E1719 - Infection cutanée,Health Effect,Effet sur la santé
716,1209,E1720 - Skin Inflammation Irritation,E1720 - Inflammation/irritation cutanée,Health Effect,Effet sur la santé
717,1210,E172003 - Contact Dermatitis,E172003 - Dermatite de contact,Health Effect,Effet sur la santé
718,1211,E172004 - Eczema,E172004 - Eczéma,Health Effect,Effet sur la santé
719,1212,E1722 - Subcutaneous Nodule,E1722 - Nodule sous-cutané,Health Effect,Effet sur la santé
720,1213,E180103 - Leiomyosarcoma,E180103 - Léiomyosarcome,Health Effect,Effet sur la santé
721,1214,E1803 - Nodule,E1803 - Nodule,Health Effect,Effet sur la santé
722,1215,E1804 - Solid Tumour,E1804 - Tumeur solide,Health Effect,Effet sur la santé
723,1216,E190101 - Drug Resistant Bacterial Infection,E190101 - Infection bactérienne résistante aux médicaments,Health Effect,Effet sur la santé
724,1217,E1905 - Transmissible Spongiform Encephalopathy TSE,E1905 - Encéphalopathie spongiforme transmissible (EST),Health Effect,Effet sur la santé
725,1218,E2002 - Bruise/Contusion,E2002 - Ecchymose/contusion,Health Effect,Effet sur la santé
726,1219,E2005 - Easy Bruising,E2005 - Prédisposition aux ecchymoses,Health Effect,Effet sur la santé
727,1220,E2102 - Awareness during Anaesthesia,E2102 - Conscience pendant l'anesthésie,Health Effect,Effet sur la santé
728,1221,E2106 - External Prosthetic Device Pain,E2106 - Douleur due à une prothèse externe,Health Effect,Effet sur la santé
