IDX,PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
1070,75JNB,"L-LEUCYL-L-ALANINE (FLUOROMETRIC), NINHYDRIN","L-LEUCYL-L-ALANINE (FLUOROMETRIE), NINHYDRINE"
1071,75JNE,"PHOSPHOHEXOSE ISOMERASE, GLUCOSE-6-PHOSPHATE(COLORIMETRIC)","PHOSPHOHEXOSE ISOMERASE, GLUCOSE-6-PHOSPHATE (COLORIMETRIE)"
1072,75JRT,"SYSTEM,REAGENT GRADE WATER (REVERSE OSMOSIS),CLINICAL USE","SYSTEME DE PRODUCTION D'EAU DE QUALITE REACTIF (PAR OSMOSE INVERSE), POUR USAGE CLINIQUE"
1073,75JZM,HUMAN CHORIONIC GONADOTROPIN (NON-RIA) SYSTEM,"HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE, DISPOSITIF DE DOSAGE NON IMMUNORADIOLOGIQUE"
1074,75KLI,"TOTAL THYROXINE, NON-RADIOLABELLED, ENZYME IMMUNOASSAY","THYROXINE TOTALE, SANS RADIOMARQUAGE, PAR DOSAGE IMMUNOENZYMATIQUE"
1075,75LPJ,"ESTROGEN RECEPTOR, ASSAY, KIT","RECEPTEURS DE L'OESTROGENE, TROUSSE D'ANALYSE"
1076,75MDS,SENSOR GLUCOSE INVASIVE,MONITEUR DE GLUCOSE EFFRACTIF
1077,75MRG,"SYSTEM, TEST, VITAMIN D",SYSTEME D'EPREUVE POUR VITAMINE D
1078,75QKY,"ANALYZER, CHEMISTRY, SINGLE CHANNEL, PROGRAMMABLE","ANALYSEUR BIOCHIMIQUE MONOCANAL, PROGRAMMABLE"
1079,75RUI,"SPECTROMETER, MASS",SPECTROMETRE DE MASSE
1080,75SCN,"TUBE, BLOOD COLLECTION",TUBE POUR PRELEVEMENT SANGUIN
1081,75SCP,"TUBE, CENTRIFUGE",TUBE A CENTRIFUGER
1082,76DYJ,"RETAINER, SCREW EXPANSION, ORTHODONTIC",VERIN D'EXPANSION D'APPAREIL DE RETENTION ORTHODONTIQUE
1083,76DZA,"DRILL, DENTAL, INTRAORAL",FRAISE DENTAIRE INTRAORALE
1084,76DZH,AC-POWERED BONE SAW,SCIE A OS ELECTRIQUE (A COURANT ALTERNATIF)
1085,76DZK,"WIRE, FIXATION, INTRAOSSEOUS",BROCHES POUR FIXATION INTRAOSSEUSE
1086,76DZM,"NEEDLE, DENTAL",AIGUILLE DENTAIRE
1087,76DZP,"INSTRUMENT, DIAMOND, DENTAL",INSTRUMENT DENTAIRE DIAMANTE
1088,76EAP,"UNIT, X-RAY, INTRAORAL",APPAREIL DE RADIOGRAPHIE INTRAORALE
1089,76EBD,"COATING, FILLING MATERIAL, RESIN",REVETEMENT EN RESINE POUR PRODUIT D'OBTURATION DENTAIRE
1090,76EBL,"PIN,RETENTIVE AND SPLINTING, AND ACCESSORY INSTRUMENTS",TENON OU ATTELLE ET INSTRUMENTS ACCESSOIRES
1091,76EBW,"CONTROLLER, FOOT, HANDPIECE AND CORD","COMMANDE A PIED, PIECE A MAIN ET CORDON"
1092,76ECC,"STERILIZER, GLASS BEAD",STERILISATEUR A BILLES DE VERRE
1093,76ECM,"BAND, PREFORMED, ORTHODONTIC",BAGUE ORTHODONTIQUE PREFORMEE
1094,76EEF,"CLAMP, RUBBER DAM",CRAMPON A DIGUE
1095,76EFD,"AMALGAMATOR, DENTAL, AC-POWERED","AMALGAMATEUR  DENTAIRE, ELECTRIQUE"
1096,76EFS,"IRRIGATOR, ORAL",IRRIGATEUR BUCCAL
1097,76EGD,"WAX, DENTAL, INTRAORAL",CIRE DENTAIRE INTRAORALE
1098,76EHD,"UNIT, X-RAY, EXTRAORAL WITH TIMER","APPAREIL A RAYONS X EXTRAORAL, AVEC MINUTERIE"
1099,76EHK,"CUP, PROPHYLAXIS",CUPULE DE PROPHYLAXIE
1100,76EKN,"POINT, PAPER, ENDODONTIC","CONE DE PAPIER, ENDODONTIQUE"
1101,76EML,"CHISEL, BONE, SURGICAL","CISEAU A OS, CHIRURGICAL"
1102,76JES,"FLOSS, DENTAL",SOIE DENTAIRE
1103,76KMW,"HANDPIECE, ROTARY BONE CUTTING",PIECE A MAIN POUR SCIE A OS ROTATIVE
1104,76LBH,"VARNISH, DENTAL",VERNIS DENTAIRE
1105,76LYC,"IMPLANT,ENDOSSEOUS FOR BONE FILLING AND/OR AUGMENTATION",IMPLANTS ENDO-OSSEUX POUR OBTURATION ET/OU AUGMENTATION OSSEUSE
1106,76MAU,"ERASER, DENTAL STAIN",DETACHANT DENTAIRE
1107,76MVL,"CORD, RETRACTION",FIL RETRACTEUR
1108,76QOK,"DAM, DENTAL",DIGUE DENTAIRE
1109,76QQG,DISTRACTOR,DISTRACTEUR
1110,76RNY,"UNIT, RADIOGRAPHIC, DIAGNOSTIC, DENTAL (X-RAY)",UNITE DE RADIOGRAPHIE DENTAIRE DIAGNOSTIQUE (RAYONS X)
1111,76ZZZ,DENTAL GENERAL CODE,CODE GENERAL - DENTAIRE
1112,77EMX,"BALLOON, EPISTAXIS",BALLONNET POUR EPISTAXIS
1113,77EOQ,BRONCHOSCOPE (FLEXIBLE OR RIGID),BRONCHOSCOPE (SOUPLE OU RIGIDE)
1114,77ERA,OTOSCOPE,OTOSCOPE
1115,77EWG,"LASER PRODUCT, MICROSURGICAL, CARBON-DIOXIDE, ENT","APPAREIL A LASER AU DIOXYDE DE CARBONE POUR MICROCHIRURGIE, ORL"
1116,77EWQ,"SAW, SURGICAL, ENT (ELECTRIC OR PNEUMATIC)","SCIE CHIRURGICALE (ELECTRIQUE OU PNEUMATIQUE), ORL"
1117,77FWN,"PROSTHESIS, LARYNX",LARYNX ARTIFICIEL
1118,77JZF,"TUBE, EAR SUCTION",TUBE D'ASPIRATION AURICULAIRE
1119,77KAL,"RETRACTOR, ENT","RETRACTEUR, ORL"
1120,77KCB,"TUBE, TONSIL SUCTION",TUBE D'ASPIRATION POUR AMYGDALES
1121,77KCO,"INHALER, NASAL",INHALATEUR NASAL
1122,77LFB,"BUTTON, NASAL SEPTUM",BOUTON SEPTAL
1123,77MCK,"DEVICE, VOICE AMPLIFICATION",AMPLIFICATEUR VOCAL
1124,77QFC,"CABINET, ENT TREATMENT","ARMOIRE POUR CABINET MEDICAL, ORL"
1125,77RQB,RHINOSCOPE,RHINOSCOPE
1126,77TCR,"KIT, IRRIGATION, ORAL",TROUSSE D'IRRIGATION BUCCALE
1127,77WOT,"BATTERY, HEARING-AID",PILE POUR APPAREIL AUDITIF
1128,78ABG,"STENT, PANCREATIC",ENDOPROTHESE PANCREATIQUE
1129,78ATV,"PORT, GASTROSTOMY FEED",PORT D'ALIMENTATION POUR GASTROSTOMIE
1130,78FAM,"SIGMOIDOSCOPE, FLEXIBLE",SIGMOIDOSCOPE SOUPLE
1131,78FBM,"CANNULA AND TROCAR, SUPRAPUBLIC, NON-DISPOSABLE","CANULE ET TROCART SUSPUBIENS, REUTILISABLES"
1132,78FCI,"PUNCH, BIOPSY",PINCE EMPORTE-PIECE POUR BIOPSIE
1133,78FEG,"TUBE, DOUBLE LUMEN FOR INTESTINAL DECOMPRESSION AND/ORINTUBATION",TUBE A DOUBLE LUMIERE POUR DECOMPRESSION ET/OU INTUBATION INTESTINALE
1134,78FFT,"ELECTRODE, PH, STOMACH","ELECTRODE INDICATRICE DE PH, POUR L'ESTOMAC"
1135,78FGB,URETEROSCOPE,URETEROSCOPE
1136,78FHO,"NEEDLE, PNEUMOPERITONEUM, SPRING LOADED","AIGUILLE A PNEUMOPERITOINE, A RESSORT"
1137,78FHS,"DIALYZER, SINGLE COIL",DIALYSEUR A BOBINE UNIQUE
1138,78FJL,RESECTOSCOPE,RESECTOSCOPE
1139,78FKK,"CLAMP, LINE",SERRE-TUBE
1140,78FKT,"SYSTEM, DIALYSATE DELIVERY, SORBENT REGENERATED","SYSTEME DE DISTRIBUTION DU DIALYSAT, AVEC REGENERATION DE SORBANT"
1141,78KGE,"FORCEPS, BIOPSY, ELECTRIC","PINCE A BIOPSIE, ELECTRIQUE"
1142,78KNQ,"DILATOR, ESOPHAGEAL",DILATATEUR OESOPHAGIEN
1143,78KNW,"INSTRUMENT, BIOPSY",INSTRUMENT A BIOPSIE
1144,78KOA,"SURGICAL INSTRUMENT, G-U MANUAL (AND ACCESSORIES)","INSTRUMENT CHIRURGICAL MANUEL (ET ACCESSOIRES), GASTRO-UROLOGIE"
1145,78KOC,"ACCESSORY, BLOOD CIRCUIT, HEMODIALYSIS","ACCESSOIRE POUR CIRCUIT SANGUIN, POUR HEMODIALYSE"
1146,78LFK,"CATHETER, FEMORAL",CATHETER FEMORAL
1147,78MEQ,"SYSTEM, HYPERTHERMIA, RF/MICROWAVE (BENIGN PROSTATICHYPERPLASIA TREATMENT)",SYSTEME D'HYPERTHERMIE PAR RADIOFREQUENCE/MICRO-ONDES (TRAITEMENT POUR HYPERPLASIE BENIGNE DE LA PROSTATE)
1148,78MET,"LITHOTRIPTER, MECHANICAL, NON-CRUSHING","LITHOTRITEUR MECANIQUE, SANS FRAGMENTATION"
1149,78MKM,"MONITOR, HEMOFILTRATION",MONITEUR D'HEMOFILTRATION
1150,78MPB,"CATHETER, HEMODIALYSIS, NON-IMPLANTED","CATHETER D'HEMODIALYSE, NON IMPLANTE"
1151,78QIU,"CATHETER, BALLOON, DILATATION, VESSEL",CATHETER A BALLONNET POUR DILATATION VASCULAIRE
1152,78QKL,"CLAMP, HEMORRHOIDAL",CLAMP A HEMORROIDES
1153,78QOI,"SYSTEM, DIAGNOSTIC, CYSTIC FIBROSIS",SYSTEME DE DIAGNOSTIC DE LA FIBROSE KYSTIQUE
1154,78QQM,"DRAIN, SUMP",CATHETER DE DRAINAGE
1155,78QZU,"KIT, TUBING HEMODIALYSIS, HEMOPERFUSION, HEMOFILTRATION","TROUSSE DE TUBAGE POUR HEMODIALYSE, HEMOPERFUSION OU HEMOFILTRATION"
1156,78RPV,"RETRACTOR, RECTAL",ECARTEUR RECTAL
1157,78VHO,"REPROCESSING UNIT, DIALYZER",UNITE DE RETRAITEMENT POUR DIALYSEUR
1158,78VKM,"LITHOTRIPTOR, ELECTRO-HYDRAULIC, EXTRACORPOREAL",LITHOTRITEUR ELECTRO-HYDRAULIQUE EXTRACORPOREL
1159,78WRW,"INJECTOR, INSULIN",INJECTEUR D'INSULINE
1160,78ZZZ,GASTROENTEROLOGY & UROLOGY GENERAL CODE,CODE GENERAL - GASTROENTEROLOGIE ET UROLOGIE
1161,79ADB,"WIRE, SNARE",BROCHE POUR SERRE-NOEUD
1162,79ADH,"LOOP, IDENTIFICATION, SURGICAL",ATTACHE D'IDENTIFICATION CHIRURGICALE
1163,79ADI,SUTURE/NEEDLE COMBINATION,AIGUILLE ATRAUMATIQUE
1164,79ADJ,"SUPPORT/HOLDER, SURGICAL INSTRUMENT",SUPPORT POUR INSTRUMENT CHIRURGICAL
1165,79AOZ,"PRODUCT, FOOT CARE, OTHER","PRODUIT POUR SOINS DES PIEDS, AUTRE"
1166,79AYZ,"GRAFT/PROTHESIS,SOFT TISSUE,BIOLOGICAL","GREFFON/PROTHESE BIOLOGIQUE, TISSU MOU"
1167,79FPY,"SHEET, BURN",DRAP STERILE POUR BRULES
1168,79FST,"LIGHT, SURGICAL, FIBEROPTIC","LAMPE CHIRURGICALE, FIBRE OPTIQUE"
1169,79FSY,"LIGHT, SURGICAL, CEILING MOUNTED","LAMPE CHIRURGICALE, PLAFONNIER"
1170,79FTA,"LIGHT, SURGICAL, ACCESSORIES","LAMPE CHIRURGICALE, ACCESSOIRES"
1171,79FTB,"LAMP, SURGICAL, XENON","LAMPE CHIRURGICALE, AU XENON"
1172,79FWF,"CAMERA, TELEVISION, ENDOSCOPIC, WITHOUT AUDIO","CAMERA ET TELEVISION, POUR ENDOSCOPIE, SANS AUDIO"
1173,79FWZ,"ACCESSORIES, OPERATING ROOM, TABLE",ACCESSOIRES POUR TABLE DE SALLE D'OPERATION
1174,79FXM,"CAMERA, STILL, ENDOSCOPIC","APPAREIL PHOTO, POUR ENDOSCOPIE"
1175,79FZE,"PROSTHESIS, NOSE, INTERNAL","PROTHESE, NEZ, INTERNE"
1176,79FZO,"CHISEL, SURGICAL, MANUAL","BURIN CHIRURGICAL, MANUEL"
1177,79GAS,"SUTURE, NONABSORBABLE, SYNTHETIC, POLYESTER","SUTURE SYNTHETIQUE NON RESORBABLE, EN POLYESTER"
1178,79GAT,"SUTURE, NONABSORBABLE, SYNTHETIC, POLYETHYLENE","SUTURE SYNTHETIQUE NON RESORBABLE, EN POLYETHYLENE"
1179,79GAX,"TOURNIQUET, NONPNEUMATIC","GARROT, NON PNEUMATIQUE"
1180,79GBW,"CATHETER, PERITONEAL",CATHETER PERITONEAL
1181,79GCB,"NEEDLE, CATHETER",AIGUILLE POUR CATHETER
1182,79GCY,"APPARATUS, SUCTION, SINGLE PATIENT USE, PORTABLE, NONPOWERED","APPAREIL D'ASPIRATION, A USAGE POUR UN SEUL PATIENT, PORTATIF, NON ELECTRIQUE"
1183,79GDM,"NEEDLE, ASPIRATION AND INJECTION, REUSABLE","AIGUILLE, POUR ASPIRATION ET INJECTION, REUTILISABLE"
1184,79GDT,"STAPLE, REMOVABLE (SKIN)",AGRAFE ENLEVABLE (PEAU)
1185,79GEA,"CANNULA, SURGICAL, GENERAL & PLASTIC SURGERY","CANULE CHIRURGICALE, POUR CHIRURGIE GENERALE ET PLASTIQUE"
1186,79HXD,"CLAMP, BONE",CLAMP A OS
1187,79JCX,"APPARATUS, SUCTION, WARD USE, PORTABLE, AC-POWERED","APPAREIL D'ASPIRATION, POUR UNITE DE SERVICE, PORTATIF, A COURANT ALTERNATIF"
1188,79JCY,"CATHETER, INFUSION",CATHETER DE PERFUSION
1189,79KAM,"CANNULA, SINUS",CANULE POUR SINUS
1190,79KCY,"TOURNIQUET, PNEUNATIC","GARROT, PNEUMATIQUE"
1191,79KDG,CHISEL (OSTEOTOME),BURIN (OSTEOTOME)
1192,79KGL,"CABINET, PHOTOTHERAPY (PUVA)",CABINE DE PHOTOTHERAPIE (PUVA)
1193,79KGO,SURGEON'S GLOVES (SEE 79FPI),GANTS DE CHIRURGIEN (VOIR 79FPI)
1194,79LRR,"KIT, FIRST AID",TROUSSE DE PREMIERS SOINS
1195,79LRS,I.V. START KIT,NECESSAIRE A PERFUSION INTRAVEINEUSE DE BASE
1196,79MCA,"TAPE, SURGICAL, INTERNAL","RUBAN CHIRURGICAL, INTERNE"
1197,79MFJ,"DEVICE, ENDOSCOPIC SUTURING",DISPOSITIF POUR SUTURE ENDOSCOPIQUE
1198,79MGQ,"DRESSING, WOUND AND BURN, HYDROGEL",PANSEMENT HYDROGEL POUR BLESSURES ET BRULURES
1199,79MVF,"SYSTEM, LASER, PHOTODYNAMIC THERAPY(PDT)",SYSTEME DE TRAITEMENT PHOTODYNAMIQUE AU LASER
1200,79MWY,"SYSTEM, MICROWAVE, HAIR REMOVAL",SYSTEME D'EPILATION A MICRO-ONDES
1201,79MWZ,"EXPANDER, BREAST, EXTERNAL","EXPANDEUR MAMMAIRE, EXTERNE"
1202,79NEU,MARKER RADIOGRAPHIC IMPLANTABLE,MARQUEUR RADIOGRAPHIQUE IMPLANTABLE
1203,79QTU,"CABLE, ELECTROSURGICAL UNIT",CABLE D'UNITE ELECTROCHIRURGICALE
1204,79QXA,"FORCEPS, FIXATION",PINCE DE FIXATION
1205,79RDL,"KNIFE, MENISCUS","COUTEAU, A MENISQUE"
1206,79RNL,"PUNCH, DERMAL",POINCON CUTANE
1207,79RXZ,"SUTURE, NYLON (POLYAMIDE) (SEE 79GAR)","SUTURE, EN NYLON (POLYAMIDE) (VOIR 79GAR)"
1208,79WRE,"HOLDER, RETRACTOR",SUPPORT POUR ECARTEUR
1209,79WYP,"EQUIPMENT, SUCTION/IRRIGATION, ENDOSCOPIC",MATERIEL D'ASPIRATION/IRRIGATION ENDOSCOPIQUE
1210,80ABR,"CONNECTORS, CEILING/WALL",PRISES POUR PLAFOND/MUR
1211,80ACF,"DEVICE, AESTHETIC",APPAREIL POUR SOINS ESTHETIQUES
1212,80AMJ,"ACCESSORIES, CLAMP",ACCESSOIRES POUR CLAMP
1213,80AVU,"ACUPUNCTURE, DIAGNOSTIC, ELECTRICAL RESISTANCE",DISPOSITIF D'ACUPUNCTURE POUR DIAGNOSTIC PAR MESURE DE LA RESISTANCE ELECTRIQUE
1214,80DZF,"SYRINGE,DRUG,LUER-LOCK","SERINGUE A EMBOUT LUER, POUR MEDICAMENTS"
1215,80FLE,"STERILIZER, STEAM (AUTOCLAVE)",STERILISATEUR A VAPEUR
1216,80FMS,"BED, PEDIATRIC OPEN HOSPITAL",LIT PEDIATRIQUE OUVERT
1217,80FMT,"WARMER, INFANT RADIANT",TABLE A INFRAROUGES
1218,80FPB,"FILTER, INFUSION LINE",FILTRE POUR TUBE DE PERFUSION
1219,80FPF,"BOTTLE, HOT/COLD WATER",BOUTEILLE POUR EAU CHAUDE OU FROIDE
1220,80FRJ,"CHAIR, GERIATRIC",FAUTEUIL GERIATRIQUE
1221,80FRK,"CHAIR, EXAMINATION AND TREATMENT",FAUTEUIL D'EXAMEN ET DE TRAITEMENT
1222,80FRN,"PUMP, INFUSION",POMPE A PERFUSION
1223,80GAZ,"TUBING, NONINVASIVE","TUBAGE, NON EFFRACTIF"
1224,80INJ,"STRETCHER, WHEELED, MECHANICAL","BRANCARD, SUR ROULETTES, MECANIQUE"
1225,80KDQ,"BOTTLE COLLECTION,VACUUM",BOUTEILLE COLLECTRICE SOUS VIDE
1226,80KIA,"COVER, CAST",COUVRE-PLATRE
1227,80KMJ,PATIENT LUBRICANT,LUBRIFIANT POUR LE PATIENT
1228,80KPD,"STRIP, TEMPERATURE, FOREHEAD, LIQUID CRYSTAL","THERMOMETRE FRONTAL, A CRISTAUX LIQUIDES"
1229,80KYX,LIQUID MEDICATION DISPENSER,DISTRIBUTEUR DE MEDICAMENTS LIQUIDES
1230,80KYY,STERILE IRRIGATING SYRINGE,SERINGUE A IRRIGATION STERILE
1231,80KZD,PRESSURE INFUSOR FOR I.V. BAGS,"POMPE DE PERFUSION SOUS PRESSION, POUR SAC POUR PERFUSION INTRAVEINEUSE"
1232,80LDQ,GENERAL MEDICAL DEVICES,CODE GENERALE POUR DISPOSITIFS MEDICAUX
1233,80LKK,"PUMP, INFUSION, IMPLANTED","POMPE A PERFUSION, IMPLANTEE"
1234,80LRJ,MEDICAL DISINFECTANTS/CLEANERS FOR INSTRUMENTS,DESINFECTANTS MEDICAUX/NETTOYANTS POUR INSTRUMENTS
1235,80LZH,"PUMP, INFUSION, ENTERAL",POMPE A PERFUSION ENTERALE
1236,80MDZ,"CLEANERS, MEDICAL DEVICES",NETTOYANTS POUR INSTRUMENTS MEDICAUX
1237,80MHW,"BANDAGE, COMPRESSION",PANSEMENT COMPRESSIF
1238,80QBI,"APPLICATOR, OTHER",AUTRE TYPE D'APPLICATEUR
1239,80QBZ,"ASPIRATOR, WOUND SUCTION PUMP",POMPE D'ASPIRATION POUR BLESSURE
1240,80QJO,"CHAIR, OTHER",AUTRE TYPE DE CHAISE
1241,80QJS,"KIT, CHEST DRAINAGE (THORACENTESIS TRAY)",TROUSSE DE DRAINAGE THORACIQUE (PLATEAU DE THORACENTESE)
1242,80QQW,"DRESSING, GERMICIDAL",PANSEMENT GERMICIDE
1243,80QVW,"FILTER, AIR",FILTRE A AIR
1244,80RCG,"KIT, EMERGENCY, INSECT STING",TROUSSE D'URGENCE CONTRE LES PIQURES D'INSECTE
1245,80RCW,"KIT, IRRIGATION, WOUND",TROUSSE D'IRRIGATION DE PLAIES
1246,80RIL,"NEEDLE, OTHER",AUTRE TYPE D'AIGUILLE
1247,80RJU,"PACKER, GAUZE",PINCE A GAZE
1248,80RLP,"KIT, PREP",TROUSSE DE PREPARATION
1249,80RMB,"PAD, PRESSURE, FOAM (ELBOW, HEEL)",COUSSIN DE MOUSSE POUR APPUI
1250,80RQQ,"SCALE, BED",PESE-LIT
1251,80RRB,"SCISSORS, BANDAGE/GAUZE/PLASTER",CISEAUX POUR PANSEMENTS DE GAZE
1252,80RSU,"SHIELD, WOUND, INJECTION SITE",GRAND PANSEMENT POUR SITE D'INJECTION
1253,80RYL,"ADAPTOR, SYRINGE",ADAPTATEUR DE SERINGUE
1254,80RYO,"SYRINGE, CATHETER",SERINGUE DE CATHETER
1255,80SBD,TOURNIQUET,TOURNIQUET
1256,80SCR,"TUBE, CONNECTING",TUBE DE CONNEXION
1257,80SFU,"WASTE RECEPTACLE, CONTAMINATED",RECIPIENT A DECHETS CONTAMINES
1258,80UBG,"PUMP, ALTERNATING PRESSURE PAD",POMPE ET COUSSIN A ALTERNANCE DE PRESSION
1259,80VAX,COMPUTER EQUIPMENT,MATERIEL INFORMATIQUE
1260,80VBM,OFFICE PRODUCT,PRODUIT DE BUREAU
1261,80VDY,BATTERY,PILE
1262,80VHN,"COMPUTER, PATIENT DATA MANAGEMENT",ORDINATEUR DE GESTION DES DONNEES SUR LES PATIENTS
1263,80VHQ,"TUBING, OXYGEN CONNECTING",TUBE DE CONNEXION A OXYGENE
1264,80WJO,"DISPENSER, OTHER",AUTRE TYPE DE DISPENSATEUR
1265,80WKE,"MASK, NEBULIZER","MASQUE, NEBULISEUR"
1266,80WKI,"PADDING, CAST/SPLINT",REMBOURRAGE POUR PLATRE ET ATTELLE
1267,80WKJ,"DRESSING, GEL",PANSEMENT A GEL
1268,80WMR,"COLLAR, EXTRICATION",MINERVE POUR DESINCARCERATION
1269,80WSY,"CLOSURE, OTHER",AUTRE TYPE DE FERMETURE
1270,80WWG,"ANALYZER, MOTION",ANALYSEUR DE MOUVEMENTS
1271,80ZZZ,GENERAL HOSPITAL GENERAL CODE,CODE GENERAL D'HOPITAL GENERAL
1272,81AFP,"ANTI-NEUTROPHIL CYCLOPLASM, ENZYME IMMUNOASSAY","ANTICORPS ANTINEUTROPHILE CYTOPLASMATIQUE, DOSAGE IMMUNOENZYMATIQUE"
1273,81AGG,ANTICOAGULANT PLASMA/SERUM COLLECTION,PRELEVEMENT DE PLASMA/SERUM ANTICOAGULANT
1274,81AKS,TISSUE PLASMINOGEN ACTIVATOR TEST,TEST D'ACTIVATION DU PLASMINOGENE TISSULAIRE
1275,81GJG,"PIPETTE, QUANTITATIVE, HEMATOLOGY",PIPETTE HEMATOLOGIQUE QUANTITATIVE
1276,81JCA,"DEVICE, BLEEDING TIME","DISPOSITIF, TEMPS DE SAIGNEMENT"
1277,81KQK,"DEVICE, GENERAL HEMATOLOGY","DISPOSITIF, HEMATOLOGIE GENERALE"
1278,81KRZ,CALIBRATOR FOR HEMOGLOBIN AND HEMATOCRIT MEASUREMENT,CALIBREUR POUR LA MESURE DE L'HEMOGLOBINE ET DE L'HEMATOCRITE
1279,81KSB,"SET, TRANSFER (BLOOD/PLASMA)",DISPOSITIF DE TRANSFERT (SANG/PLASMA)
1280,81KSF,QUALITY CONTROL KIT FOR BLOOD BANKING REAGENTS,TROUSSE DE CONTROLE DE LA QUALITE POUR REACTIFS D'ENTREPOSAGE DU SANG
1281,81KSR,EMPTY CONTAINER FOR COLLECTION & PROCESSING OF BLOOD & BLOODCOMPONENTS,CONTENANT VIDE POUR LE PRELEVEMENT ET LE TRAITEMENT DU SANG ET DES COMPOSANTS SANGUINS
1282,81KSZ,BLOOD GROUPING AND ANTIBODY TEST SYSTEM,SYSTEME DE DETERMINATION DU GROUPE SANGUIN ET DE DEPISTAGE DES ANTICORPS
1283,81MVS,"KIT, TYPING, HLA-DQB",TROUSSE DE TYPAGE HLA-DQB
1284,81MVZ,"SYSTEM, TEST, HOME, HIV-1",SYSTEMES D'AUTOTEST DE DEPISTAGE DU VIH-1
1285,81MYX,"SYSTEM, BLOOD COLLECTION, VACUUM-ASSISTED, AUTOMATED",SYSTEME AUTOMATISE DE PRELEVEMENT DE SANG PAR ASPIRATION
1286,81MYY,"SEPARATOR, SEMI-AUTOMATED, BLOOD COMPONENT",SEPARATEUR SEMI-AUTOMATISE DE COMPOSANTS SANGUINS
1287,81SAQ,"TIMER, COAGULATION, AUTOMATED",COAGULOMETRE AUTOMATISE
1288,81UJS,ANTI-HUMAN ANTIBODY DETECTION,DETECTION DES ANTICORPS ANTIHUMAINS
1289,81UJY,"ANTISERUM, ABO BLOOD GROUPING",ANTISERUM POUR LA DETERMINATION DES GROUPES SANGUINS ABO
1290,81VJE,"TEST, ANTIBODY, ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS)",TEST DE DETECTION DES ANTICORPS DU SYNDROME D'IMMUNODEFICIENCE ACQUISE (SIDA)
1291,82AJB,"IMMUNOGLOBULINS (G, A, M) IMMUNOTURBIDIMETRIC","DOSAGE IMMUNOTURBIDIMETRIQUE DES IMMUNOGLOBULINES (G, A, M)"
1292,82AQY,"SPERM ANTIBODIES, IMMUNOFLUORESCENT",DOSAGE IMMUNOFLUORESCENT DES ANTICORPS SPERMATIQUES
1293,82ARE,"DNA (DSDNA), DOUBLE STRANDED",ADN DOUBLE BRIN (ADNDB)
1294,82DCK,"C-REACTIVE PROTEIN, ANTIGEN, ANTISERUM, AND CONTROL","PROTEINE C-REACTIVE, ANTIGENE, ANTISERUM, CONTROLE"
1295,82DEM,"ALPHA-1-ANTITRYPSIN, ANTIGEN, ANTISERUM, CONTROL","ALPHA-1-ANTITRYPSINE, ANTIGENE, ANTISERUM, CONTROLE"
1296,82DFC,"LIPOPROTEIN, LOW-DENSITY, ANTIGEN, ANTISERUM, CONTROL","LIPOPROTEINE DE BASSE DENSITE, ANTIGENE, ANTISERUM, CONTROLE"
1297,82DFN,"PLATELETS, ANTIGEN, ANTISERUM, CONTROL","PLAQUETTES, ANTIGENE, ANTISERUM, CONTROLE"
1298,82DGS,"LYMPHOCYTE TYPING, ANTIGEN, ANTISERUM, CONTROL","TYPAGE DES LYMPHOCYTES, ANTIGENE, ANTISERUM, CONTROLE"
1299,82KTQ,COMPLEMENT REAGENT,COMPLEMENT REACTIF
1300,82LKJ,"ANTINUCLEAR ANTIBODY, ANTIGEN, CONTROL","ANTICORPS ANTINUCLEAIRE, ANTIGENE, CONTROLE"
1301,82MTG,FREE PROSTATE SPECIFIC ANTIGEN (NONCOMPLEXED) TODISTINGUISH CANCER FROM BENIGN CONDITIONS,ANTIGENE PROSTATIQUE SPECIFIQUE LIBRE (NON COMPLEXE) POUR DISTINGUER LE CANCER DES AFFECTIONS BENIGNES
1302,82MVD,"GENE PROBE ASSAY, HER-2/NEU","DOSAGE DE LA SONDE GENETIQUE, HER-2/NEU"
1303,82MZC,"SYSTEM, DETECTION, BACTERIAL, FOR PLATELET TRANSFUSIONPRODUCTS",SYSTEME DE DETECTION DES BACTERIES POUR LES PRODUITS DE TRANSFUSION DES PLAQUETTES
1304,83AGR,"SHIGELLA, DIRECT AGGLUTINATION TEST",TEST D'AGGLUTINATION DIRECTE DES SHIGELLAS
1305,83AII,"CYTOMEGALOVIRUS, LATEX AGGLUTINATION ASSAY","CYTOMEGALOVIRUS, TEST D'AGGLUTINATION AU LATEX"
1306,83AJW,"ENTEROVIRUS, ANTIGEN, ANTISERUM, CONTROL, CF","ENTEROVIRUS, ANTIGENE, ANTISERUM, CONTROLE, CF"
1307,83ATB,"CULTURE MEDIA, FUNGI","MILIEU DE CULTURE, CHAMPIGNONS"
1308,83GMT,"ANTIGEN, HA, TREPONEMA PALLIDUM","ANTIGENE HA, TREPONEMA PALLIDUM"
1309,83GNT,"ANTIGEN, HA (INCLUDING HA CONTROL), INFLUENZA VIRUS A, B, C","ANTIGENE HA (Y COMPRIS LE CONTROLE HA) DU VIRUS DE LA GRIPPE A, B, C"
