PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
87RQN,SAW BONE PNEUMATIC,SCIE A OS PNEUMATIQUE
87RWH,STOCKINETTE,JERSEY TUBULAIRE
87UBH,MESH ORTHOPEDIC (METALLIC)  (SEE 77EZX),FILET ORTHOPEDIQUE (METALLIQUE) (VOIR 77EZX)
87UBQ,PROSTHESIS FINGER TOTAL,PROTHESE TOTALE DU DOIGT
87UBR,PROSTHESIS KNEE TOTAL,PROTHESE TOTALE DU GENOU
87UCE,PROSTHESIS FEMORAL HEAD,PROTHESE DE TETE FEMORALE
87VIE,ACCESSORIES ARTHOSCOPE (SEE 87NBH),ACCESSOIRES ARTHROSCOPIQUES (VOIR 87NBH)
87WUR,NEEDLE SUTURE ARTHROSCOPY,AIGUILLE DE SUTURE ARTHROSCOPIQUE
87WWB,POSITIONER SPINE SURGICAL,POSITIONNEUR CHIRURGICAL D'EPINE DORSALE
88AOQ,STAIN HEMATOLOGY/PATHOLOGY OTHER,AUTRE TYPE DE COLORATEUR HEMATOLOGIQUE/PATHOLOGIQUE
88GLP,STAIN GIEMSA,COLORATEUR DE GIEMSA
88IFB,CYTOCENTRIFUGE,CYTOCENTRIFUGE
88KQD,REAGENT HEMATOLOGY GENERAL,REACTIF HEMATOLOGIQUE GENERAL
88LEA,PRESERVATIVE CYTOLOGICAL,PRESERVATIF CYTOLOGIQUE
88SAV,TISSUE EMBEDDING EQUIPMENT/REAGENT,EQUIPEMENT/REACTIF D'INCLUSION DE TISSUS
88TCF,KIT FORENSIC EVIDENCE,TROUSSE MEDICO-LEGALE
88UJH,REAGENT VIRUS GENERAL,REACTIF GENERAL DE DETECTION DE VIRUS
89HPH,DIATHERMY MICROWAVE FOR USE OTHER THAN APPLYINGTHERAPEUTIC DEEP HEAT,DIATHERMIE PAR MICRO-ONDES POUR USAGE AUTRE QUE L'APPLICATION DE CHALEUR PROFONDE THERAPEUTIQUE
89IKX,AID TRANSFER,AIDE AU TRANSFERT
89ILI,SLING ARM,ECHARPE DE BRAS
89ILX,DIATHERMY SHORTWAVE FOR USE OTHER THAN APPLYINGTHERAPEUTIC DEEP HEAT,DIATHERMIE A ONDES COURTES POUR USAGE AUTRE QUE L'APPLICATION DE CHALEUR PROFONDE THERAPEUTIQUE
89IOA,DIATHERMY MICROWAVE FOR USE IN APPLYING THERAPEUTIC DEEPHEAT,DIATHERMIE A MICRO-ONDES POUR APPLICATION DE CHALEUR PROFONDE THERAPEUTIQUE
89IOQ,BED FLOTATION THERAPY POWERED,LIT DE THERAPIE PAR FLOTTAISON ELECTRIQUE
89IOY,SUPPORT ARM,SUPPORT DE BRAS
89IQE,ORTHOSIS LUMBAR,ORTHESE LOMBAIRE
89IQM,SPLINT TEMPORARY TRAINING,ECLISSE TEMPORAIRE POUR REEDUCATION
89IRO,VIBRATOR THERAPEUTIC,VIBRATEUR THERAPEUTIQUE
89JFB,TABLE PHYSICAL THERAPY MULTI FUNCTION,TABLE DE THERAPIE PHYSIQUE MULTIFONCTION
89KHY,CANE SAFETY WALK,CANNE DE MARCHE DE SECURITE
89KID,RESTRAINT (WHEELCHAIR),DISPOSITIF DE RETENUE POUR FAUTEUIL ROULANT
89LPQ,STIMULATOR ULTRASOUND AND MUSCLE FOR USE OTHER THANAPPLYING THERAPEUTIC DEEP HEAT,STIMULATEUR DE MUSCLES A ULTRASONS POUR USAGE AUTRE QUE L'APPLICATION DE CHALEUR PROFONDE THERAPEUTIQUE
89NHN,POWERED LIGHT BASED NON-LASER NON-THERMAL  NON HEATING,INSTRUMENT ELECTRIQUE A SOURCE DE LUMIERE AUTRE QUE LE LASER NON THERMIQUE NON CHAUFFANT
89QUY,EXERCISER HAND,CRISPATEURS
90ABL,ACCESSORIES ULTRASONIC IMAGING,ACCESSOIRES D'IMAGERIE ULTRASONIQUE
90AOA,SEED ISOTOPE I125,GRAIN D'ISOTOPE I125
90AUD,UNIT IMAGING THERMAL,DISPOSITIF D'IMAGERIE THERMIQUE
90AVH,LASER PHOTODYNAMIC THERAPY (PDT),LASER POUR THERAPIE PHOTODYNAMIQUE (PDT)
90IWF,NEEDLE ISOTOPE GOLD TITANIUM PLATINUM,AIGUILLES D'ISOTOPES D'OR DE TITANE OU DE PLATINE
90IWJ,SYSTEM APPLICATOR RADIONUCLIDE MANUAL,SYSTEME D'APPLICATION MANUELLE DE RADIONUCLEIDES
90IWL,SYSTEM RADIATION THERAPY NEUTRON MEDICAL,APPAREIL DE NEUTRONOTHERAPIE
90IXG,PHANTOM ANTHROPOMORPHIC RADIOGRAPHIC,FANTOME ANTHROPOMORPHIQUE RADIOGRAPHIQUE
90IXI,BLOCK BEAM-SHAPING RADIATION THERAPY,CACHE PLOMBE (MODELEUR DE FAISCEAU EN RADIOTHERAPIE)
90IYC,GENERATOR ORTHOVOLTAGE THERAPEUTIC X-RAY,GENERATEUR ORTHOVOLTAGE THERAPIE PAR RAYONS X
90IYT,SYSTEM REBREATHING RADIONUCLIDE,REINHALATEUR DE RADIONUCLEIDES
90IZH,SYSTEM X-RAY MAMMOGRAPHIC,SYSTEME MAMMOGRAPHIQUE A RAYONS X
90IZZ,TABLE RADIOGRAPHIC NON-TILTING POWERED,TABLE RADIOGRAPHIQUE NON BASCULANTE ELECTRIQUE
90JAF,MONITOR ULTRASONIC NON-FETAL,MONITEUR NON FOETAL A ULTRASONS
90JAR,PHANTOM TEST-PATTERN RADIONUCLIDE,FANTOME DE TEST A RADIONUCLEIDES
90JWM,SYSTEM TOMOGRAPHIC NUCLEAR,TOMOGRAPHE NUCLEAIRE
90KPR,SYSTEM X-RAY STATIONARY,SYSTEME DE RADIODIAGNOSTIC FIXE
90KXI,ANATOMICAL MARKER RADIONUCLIDE,MARQUEUR ANATOMIQUE A RADIONUCLEIDES
90LLZ,SYSTEM IMAGE PROCESSING,SYSTEME DE TRAITEMENT D'IMAGES
90LNH,SYSTEM NUCLEAR MAGNETIC RESONANCE IMAGING,IMAGERIE PAR RESONANCE MAGNETIQUE NUCLEAIRE
90MQB,SOLID STATE X-RAY IMAGER (FLAT PANEL/DIGITAL IMAGER),IMAGEUR A RAYONS X TRANSISTORISE (IMAGEUR A ECRAN PLAT/NUMERIQUE)
90MYN,COMPUTER-AIDED MEDICAL IMAGEUS,IMAGE MEDICALE INFORMATISEE
90ROA,RADIOGRAPHIC UNIT DIAGNOSTIC MOBILE X-RAY (SEE 90IZL),APPAREIL RADIOGRAPHIQUE DE DIAGNOSTIC MOBILE A RAYONS X (VOIR 90IZL)
90ROB,RADIOGRAPHIC UNIT DIAGNOSTIC PORTABLE (X-RAY),APPAREIL RADIOGRAPHIQUE DE DIAGNOSTIC PORTABLE A RAYONS X
90RQV,SCANNER ULTRASONIC ABDOMINAL,TOMODENSITOMETRE ABDOMINAL
90TEI,SCANNER COMPUTED TOMOGRAPHY X-RAY HEAD,TOMODENSITOMETRE CRANIEN A RAYONS X
90VGW,MEDIA CONTRAST RADIOGRAPHIC INJECTABLE (SEE 90KTA),MILIEU DE CONTRASTE RADIOGRAPHIQUE INJECTABLE (VOIR 90KTA)
90VHC,RADIOGRAPHIC/FLUROSCOPIC UNIT ANGIOGRAPHIC DIGITAL,APPAREIL RADIOGRAPHIQUE/FLUOROSCOPIQUE ANGIOGRAPHIQUE NUMERIQUE
90WTF,UNIT IMAGING THERMAL,IMAGEUR THERMIQUE
90WUB,IMMOBILIZER THERAPY RADIATION,DISPOSITIF D'IMMOBILISATION POUR RADIOTHERAPIE
90ZZZ,RADIOLOGY/IMAGING GENERAL CODE,CODE GENERAL DE RADIOLOGIE/IMAGERIE
91AEW,BARBITURATE (SERUM PLASMA URINE) ASSAY,TEST DE DETECTION DES BARBITURIQUES (SERUM PLASMA URINE)
91AID,SALICILATE (SERUM PLASMA) LEVELS,NIVEAUX DE SALICILATE (SERUM PLASMA)
91AUQ,ENZYME IMMUNOASSAY AMPHETAMINE/METHAMPHETAMINE,DOSAGE IMMUNOENZYMATIQUE AMPHETAMINE/METHAMPHETAMINE
91AUV,CYCLOSPORINE (SERUM. PLASMA) LEVEL,NIVEAUX DE CYCLOSPORINE (SERUM. PLASMA)
91DIC,ALCOHOL DEHYDROGENASE SPECIFIC REAGENT FOR ETHANOL ENZYMEMETHOD,REACTIF SPECIFIQUE DE L'ALCOOL DESHYDROGENASE POUR LA METHODE ENZYMATIQUE A L'ETHANOL
91DKP,RADIOIMMUNOASSAY PHENOBARBITAL,DOSAGE RADIO-IMMUNOLOGIQUE PHENOBARBITAL
91JXN,ENZYME IMMUNOASSAY PROPOXYPHENE,DOSAGE IMMUNOENZYMATIQUE PROPOXYPHENE
91KLB,RADIOIMMUNOASSSY TOBRAMYCIN,DOSAGE RADIO-IMMUNOLOGIQUE TOBRAMYCINE
91KLS,ENZYME IMMUNOASSAY THEOPHYLLINE,DOSAGE IMMUNOENZYMATIQUE THEOPHYLLINE
91LAS,MATERIALS DRUG SPECIFIC CONTROL,MATERIAUX CONTROLE SPECIFIQUE A CHAQUE DROGUE
91LFG,RADIOIMMUNOASSAY TRICYCLIC ANTIDEPRESSANT DRUGS,DOSAGE RADIO-IMMUNOLOGIQUE ANTIDEPRESSEURS TRICYCLIQUES
91MKU,ENZYME IMMUNOASSAY NICOTINE AND NICOTINE METABOLITES,DOSAGE IMMUNO-ENZYMATIQUE NICOTINE ET METABOLITES DE LA NICOTINE
91WPZ,TEST SUBSTANCE/DRUG ABUSE (SEE 75MGX),TEST ABUS D'ALCOOL ET DE DROGUES (VOIR 75MGX)
99ZZY,SOLUTIONS,SOLUTIONS
73BSD,ANALYZERGASNITROGENPARTIAL PRESSUREBLOOD PHASENON-INDWELLING,ANALYSEUR DE LA PRESSION PARTIELLE DE L'AZOTE DANS LE SANG NON A DEMEURE
73BTO,TUBE TRACHEOSTOMY (W/WO CONNECTOR) (SEE 73EQK),TUBE POUR TRACHEOTOMIE (AVEC/SANS RACCORD) (VOIR 73EQK)
73BXC,MONITOR OXYGEN (VENTILATORY) W/WO ALARM,MONITEUR D'OXYGENE DE VENTILATEUR AVEC/SANS ALARME
73BXN,STIMULATOR NERVE BATTERY POWERED,NEUROSTIMULATEUR A PILE
73BXR,METER AIRWAY PRESSURE (INSPIRATORY FORCE),MANOMETRE POUR VOIES AERIENNES (FORCE INSPIRATOIRE)
73BYJ,UNIT LIQUID OXYGEN PORTABLE,DISPOSITIF PORTATIF D'OXYGENE LIQUIDE
73BZA,CONNECTOR AIRWAY (EXTENSION),RACCORD POUR TUBE ENDOTRACHEAL (RALLONGE)
73BZG,SPIROMETER DIAGNOSTIC,SPIROMETRE DIAGNOSTIQUE
73BZH,METER PEAK FLOW SPIROMETRY,SPIROMETRE POUR DEBIT DE POINTE
73CBS,ANALYZER GAS HALOTHANE GASEOUS PHASE (ANESTHETIC CONC.),ANALYSEUR D'HALOTHANE GAZEUX (CONCENTRATION ANESTHESIQUE)
73KFS,MONITOR PO2 CONTINUOUS,MONITEUR DE PRESSION PARTIELLE D'OXYGENE CONTINUE
73KLM,VENTILATOR CONTINUOUS HYPERBARIC,VENTILATEUR HYPERBARE EN CONTINU
73QVA,EXERCISER RESPIRATORY,EXERCISEUR RESPIRATOIRE
73QVX,FILTER GAS,FILTRE BACTERIEN
73RCO,GENERATOR IONIZED AIR,IONISEUR D'AIR
73RHV,NEBULIZER ULTRASONIC,NEBULISEUR ULTRASONIQUE
73RJK,ANALYZER GAS OXYGEN SAMPLING,ANALYSEUR D'OXYGENE GAZEUX POUR ECHANTILLONNAGE
73RJR,GENERATOR OZONE,GENERATEUR D'OZONE
73RLL,PNEUMOGRAPH,PNEUMOGRAPHE
73WLD,EQUIPMENT THERAPY APNEA,MATERIEL POUR LE TRAITEMENT DE L'APNEE
73ZZZ,ANAESTHESIOLOGY GENERAL CODE,CODE GENERAL - ANESTHESIOLOGIE
74AAI,LEAD EXTENDER PACEMAKER IMPLANTABLE,RALLONGE DE SONDE POUR STIMULATEUR CARDIAQUE IMPLANTABLE
74AIV,PACEMAKER COVER,BOITIER DE STIMULATEUR CARDIAQUE
74ASW,CATHETER GUIDING,CATHETER-GUIDE
74ATZ,KIT CATHETER REPAIR NON-BALLOON,TROUSSE DE REPARATION DE CATHETER SANS BALLONNET
74BXE,MONITOR BLOOD PRESSURE TRANSDUCER INDWELLING,TRANSDUCTEUR  POUR TENSIOMETRE A DEMEURE
74CAS,FLOWMETER BLOOD ULTRASONIC TRANSCUTANEOUS (W/WOCALIBRATION),DEBITMETRE SANGUIN ULTRASONIQUE PERCUTANE (AVEC/SANS ETALONNAGE)
74DRA,CATHETER STEERABLE,CATHETER ORIENTABLE
74DRM,COMPRESSOR CARDIAC EXTERNAL,COMPRESSEUR CARDIAQUE EXTERNE
74DRX,ELECTRODE ELECTROCARDIOGRAPH,ELECTRODE D'ELECTROCARDIOGRAPHE
74DRY,MONITOR BLOOD GAS ON-LINE CARDIOPULMONARY BYPASS,MONITEUR DE GAZ SANGUINS EN DIRECT POUR DERIVATION CARDIOPULMONAIRE
74DXG,COMPUTER DIAGNOSTIC PRE-PROGRAMMED SINGLE FUNCTION,ORDINATEUR DE DIAGNOSTIC PREPROGRAMME A FONCTION UNIQUE
74FLX,MANOMETER BLOOD PRESSURE MERCURY,TENSIOMETRE A MERCURE
74FLZ,CUFF INFLATION,BRASSARD POUR TENSIOMETRE
74FYM,MONITOR PRESSURE ARTERIAL EXTERNAL NONPOWERED,MONITEUR DE PRESSION ARTERIELLE EXTERNE NON ELECTRIQUE
74FYW,MONITOR ELECTROCARDIOGRAPH,MONITEUR D'ELECTROCARDIOGRAPHE
74JOW,SLEEVE COMPRESSIBLE LIMB,MANCHON DE COMPRESSION DES MEMBRES
74KRI,ACCESSORY EQUIPMENT CARDIOPULMONARY BYPASS,ACCESSOIRE POUR DERIVATION CARDIOPULMONAIRE
74LWR,TISSUE HEART VALVE,BIOPROTHESE CARDIAQUE
74MAE,OCCLUDER PATENT DUCTUS ARTERIOSUS,DISPOSITIF OCCLUSIF POUR PERSISTANCE DU CANAL ARTERIEL
74MCX,CATHETER CORONARY ATHERECTOMY,CATHETER D'ATHERECTOMIE  CORONARIENNE
74MGB,DEVICE HEMOSTASIS VASCULAR,DISPOSITIF D'HEMOSTASE VASCULAIRE
74MHX,MONITOR PHYSIOLOGICAL PATIENT,MONITEUR PHYSIOLOGIQUE PATIENT
74MLD,MONITOR ST SEGMENT WITH ALARM,MONITEUR DU SEGMENT ST AVEC ALARME
74MWS,DEVICE STABILIZER HEART,STABILISATEUR CARDIAQUE
74NVM,CATHETER ANGIOPLASTY PERIPHERAL TRANSLUMINAL DUAL-BALLOONPERCUTANEOUS,CATHETER PERCUTANE A DOUBLE BALLONNET POUR ANGIOPLASTIE TRANSLUMINALE PERIPHERIQUE
74QGG,CANNULA VENA CAVA,CANULE POUR VEINE CAVE
74QYZ,GUIDEWIRE (SEE 74DQX),FIL-GUIDE (VOIR 74DQX)
74QZJ,DETECTOR HEART-LUNG BYPASS UNIT LEVEL,DETECTEUR DE NIVEAU POUR APPAREIL DE CIRCULATION EXTRACORPORELLE
74QZL,TUBE HEART-LUNG BYPASS UNIT,TUBE POUR APPAREIL DE CIRCULATION EXTRACORPORELLE
74RFH,LOOP ENDARTERECTOMY,STRIPPER DE CANNON (POUR ENDARTERIECTOMIE)
74TGP,CATHETER PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY,CATHETER POUR ANGIOPLASTIE TRANSLUMINALE PERCUTANEE
74WOV,ELECTRODE GEL,GEL A ELECTRODE
74ZZZ,CARDIOVASCULAR GENERAL CODE,CODE GENERAL - CARDIOVASCULAIRE
75AFH,TEST ANTI-CARDIOLIPIN ANTIBODY,ANALYSE DES ANTICORPS ANTICARDIOLIPINE
75AHK,FOLLICLE STIMULATING HORMONE FSH,HORMONE FOLLICULOSTIMULANTE (FSH) DOSAGE
75AHT,MYOGLOBIN ASSAY,MYOGLOBINE DOSAGE
75AKY,ESTRADIOL TEST,ESTRADIOL DOSAGE
75APY,L-GLUTAMYLNITROANILIDE/GLYCYLGLYCINE GAMMA GLUTAMLTRANSPEPTIDASE,L-GLUTAMYLNITROANILIDE/GLYCYLGLYCINE GAMMA-GLUTAMYLTRANSPEPTIDASE
75AQA,AST/SGOT ASSAY,AST/SGOT DOSAGE
75AQQ,ALT/AST ASSAY,ALT/AST DOSAGE
75AYJ,HUMAN CHRONIC GONADOTROPIN HCG PREGNANCY,HORMONE CHORIONIQUE GONADOTROPE HUMAINE (HCG) (GROSSESSE) DOSAGE
75CDH,ACIDURICPHOSPHOTUNGSTATE REDUCTION,ACIDE URIQUE PAR REDUCTION DU PHOSPHOTUNGSTATE
75CEM,POTASSIUM ION SPECIFIC ELECTRODE,POTASSIUM PAR ELECTRODE SPECIFIQUE
75CER,LACTATE DEHYDROGENASE BY 2 4-DINITROPHENYHYDRAZINE,LACTICODESHYDROGENASE PAR 2 4-DINITROPHENYHYDRAZINE
75CFR,GLUCOSE BY HEXOKINASE,GLUCOSE PAR HEXOKINASE
75CGC,GASTRIN BY RADIOIMMUNOASSAY,GASTRINE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CGR,CORTISOL BY RADIOIMMUNOASSAY,CORTISOL PAR DOSAGE RADIOIMMUNOLOGIQUE
75CHI,LIPASE BY LIPASE-ESTERASE ENZYMATIC PHOTOMETRIC,LIPASE PAR ENZYMES LIPASE/ESTERASE (PHOTOMETRIE)
75CIN,ALKALINE PHOSPHATASE ISOENZYMES BY ELECTROPHORETICSEPERATION,ISOENZYMES DE LA PHOSPHATASE ALCALINE PAR SEPARATION ELECTROPHORETIQUE
75CIT,AST/SGOT BY NADH OXIDATION/NAD REDUCTION,AST/SGOT PAR REDUCTION DE NAD/OXYDATION DE NADH
75CIZ,ANDROSTENEDIONE BY RADIOIMMUNOASSAY,ANDROSTENEDIONE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CKE,ACID PHOSPHATASETHYMOLPHTHALE INMONOPHOSPHATE,PHOSPHATASE ACIDE  PAR MONOPHOSPHATE DE THYMOLPHTHALEINE
75JFG,ALKALINE PHOSPHATASE CATALYTIC METHOD,PHOSPHATASE ALCALINE PAR LA METHODE CATALYTIQUE
75JFL,CARBON-DIOXIDE BY PH RATE MEASUREMENT,DIOXYDE DE CARBONE PAR LA MESURE DU PH
75JGF,LACTATAE DEHYDROGENASE DIFFERENTIAL RATE KINETIC METHOD,LACTICODESHYDROGENASE PAR LA METHODE CINETIQUE (VITESSE DE REACTION DIFFERENTIELLE)
75JGH,LIPASE CATALYTIC METHOD,LIPASE PAR LA METHODE CATALYTIQUE
75JGJ,MAGNESIUM PHOTOMETRIC METHOD,MAGNESIUM PAR PHOTOMETRIE
75JGP,TOTAL PROTEIN LOWRY (COLORIMETRIC),PROTEINES TOTALES PAR LA METHODE DE LOWRY (COLORIMETRIE)
75JGR,TOTAL PROTEIN REFRACTOMETRIC,PROTEINES TOTALES PAR REFRACTOMETRIE
75JHS,CPK OR ISOENZYMES DIFFERENTIAL RATE KINETIC METHOD,CPK OU ISOENZYMES PAR LA METHODE CINETIQUE (VITESSE DE REACTION DIFFERENTIELLE)
75JIQ,PROTEIN OR ALBUMIN (URINARY NON-QUANT) TURBIDIMETRICMETHOD,PROTEINES OU ALBUMINE (URINAIRE NON QUANTITATIVES) PAR TURBIDIMETRIE
75JJR,CONTROLS (ASSAYED AND UNASSAYED) ELECTROLYTE,CONTROLES (DOSES ET NON DOSES) POUR ELECTROLYTES
75JKD,C PEPTIDES OF PROINSULIN BY RADIOIMMUNOASSAY,PEPTIDES C DE LA PROINSULINE PAR DOSAGE RADIOIMMUNOLOGIQUE
75JMK,ACIDALPHA-KETOBUTYRIC AND NADH  (U.V.) HYDROXYBUTYRICDEHYDROGENASE,ACIDE ALPHA-CETOBUTYRIQUE ET NADH (UV) HYDROXYBUTYRATE DESHYDROGENASE
75JNB,L-LEUCYL-L-ALANINE (FLUOROMETRIC) NINHYDRIN,L-LEUCYL-L-ALANINE (FLUOROMETRIE) NINHYDRINE
75JNE,PHOSPHOHEXOSE ISOMERASE GLUCOSE-6-PHOSPHATE(COLORIMETRIC),PHOSPHOHEXOSE ISOMERASE GLUCOSE-6-PHOSPHATE (COLORIMETRIE)
75JRT,SYSTEMREAGENT GRADE WATER (REVERSE OSMOSIS)CLINICAL USE,SYSTEME DE PRODUCTION D'EAU DE QUALITE REACTIF (PAR OSMOSE INVERSE) POUR USAGE CLINIQUE
75JZM,HUMAN CHORIONIC GONADOTROPIN (NON-RIA) SYSTEM,HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE DISPOSITIF DE DOSAGE NON IMMUNORADIOLOGIQUE
75KLI,TOTAL THYROXINE NON-RADIOLABELLED ENZYME IMMUNOASSAY,THYROXINE TOTALE SANS RADIOMARQUAGE PAR DOSAGE IMMUNOENZYMATIQUE
75LPJ,ESTROGEN RECEPTOR ASSAY KIT,RECEPTEURS DE L'OESTROGENE TROUSSE D'ANALYSE
75MDS,SENSOR GLUCOSE INVASIVE,MONITEUR DE GLUCOSE EFFRACTIF
75MRG,SYSTEM TEST VITAMIN D,SYSTEME D'EPREUVE POUR VITAMINE D
75QKY,ANALYZER CHEMISTRY SINGLE CHANNEL PROGRAMMABLE,ANALYSEUR BIOCHIMIQUE MONOCANAL PROGRAMMABLE
75RUI,SPECTROMETER MASS,SPECTROMETRE DE MASSE
75SCN,TUBE BLOOD COLLECTION,TUBE POUR PRELEVEMENT SANGUIN
75SCP,TUBE CENTRIFUGE,TUBE A CENTRIFUGER
76DYJ,RETAINER SCREW EXPANSION ORTHODONTIC,VERIN D'EXPANSION D'APPAREIL DE RETENTION ORTHODONTIQUE
76DZA,DRILL DENTAL INTRAORAL,FRAISE DENTAIRE INTRAORALE
76DZH,AC-POWERED BONE SAW,SCIE A OS ELECTRIQUE (A COURANT ALTERNATIF)
76DZK,WIRE FIXATION INTRAOSSEOUS,BROCHES POUR FIXATION INTRAOSSEUSE
76DZM,NEEDLE DENTAL,AIGUILLE DENTAIRE
76DZP,INSTRUMENT DIAMOND DENTAL,INSTRUMENT DENTAIRE DIAMANTE
76EAP,UNIT X-RAY INTRAORAL,APPAREIL DE RADIOGRAPHIE INTRAORALE
76EBD,COATING FILLING MATERIAL RESIN,REVETEMENT EN RESINE POUR PRODUIT D'OBTURATION DENTAIRE
76EBL,PINRETENTIVE AND SPLINTING AND ACCESSORY INSTRUMENTS,TENON OU ATTELLE ET INSTRUMENTS ACCESSOIRES
76EBW,CONTROLLER FOOT HANDPIECE AND CORD,COMMANDE A PIED PIECE A MAIN ET CORDON
76ECC,STERILIZER GLASS BEAD,STERILISATEUR A BILLES DE VERRE
76ECM,BAND PREFORMED ORTHODONTIC,BAGUE ORTHODONTIQUE PREFORMEE
76EEF,CLAMP RUBBER DAM,CRAMPON A DIGUE
76EFD,AMALGAMATOR DENTAL AC-POWERED,AMALGAMATEUR  DENTAIRE ELECTRIQUE
76EFS,IRRIGATOR ORAL,IRRIGATEUR BUCCAL
76EGD,WAX DENTAL INTRAORAL,CIRE DENTAIRE INTRAORALE
76EHD,UNIT X-RAY EXTRAORAL WITH TIMER,APPAREIL A RAYONS X EXTRAORAL AVEC MINUTERIE
76EHK,CUP PROPHYLAXIS,CUPULE DE PROPHYLAXIE
76EKN,POINT PAPER ENDODONTIC,CONE DE PAPIER ENDODONTIQUE
76EML,CHISEL BONE SURGICAL,CISEAU A OS CHIRURGICAL
76JES,FLOSS DENTAL,SOIE DENTAIRE
76KMW,HANDPIECE ROTARY BONE CUTTING,PIECE A MAIN POUR SCIE A OS ROTATIVE
76LBH,VARNISH DENTAL,VERNIS DENTAIRE
76LYC,IMPLANTENDOSSEOUS FOR BONE FILLING AND/OR AUGMENTATION,IMPLANTS ENDO-OSSEUX POUR OBTURATION ET/OU AUGMENTATION OSSEUSE
76MAU,ERASER DENTAL STAIN,DETACHANT DENTAIRE
76MVL,CORD RETRACTION,FIL RETRACTEUR
76QOK,DAM DENTAL,DIGUE DENTAIRE
76QQG,DISTRACTOR,DISTRACTEUR
76RNY,UNIT RADIOGRAPHIC DIAGNOSTIC DENTAL (X-RAY),UNITE DE RADIOGRAPHIE DENTAIRE DIAGNOSTIQUE (RAYONS X)
76ZZZ,DENTAL GENERAL CODE,CODE GENERAL - DENTAIRE
77EMX,BALLOON EPISTAXIS,BALLONNET POUR EPISTAXIS
77EOQ,BRONCHOSCOPE (FLEXIBLE OR RIGID),BRONCHOSCOPE (SOUPLE OU RIGIDE)
77ERA,OTOSCOPE,OTOSCOPE
77EWG,LASER PRODUCT MICROSURGICAL CARBON-DIOXIDE ENT,APPAREIL A LASER AU DIOXYDE DE CARBONE POUR MICROCHIRURGIE ORL
77EWQ,SAW SURGICAL ENT (ELECTRIC OR PNEUMATIC),SCIE CHIRURGICALE (ELECTRIQUE OU PNEUMATIQUE) ORL
77FWN,PROSTHESIS LARYNX,LARYNX ARTIFICIEL
77JZF,TUBE EAR SUCTION,TUBE D'ASPIRATION AURICULAIRE
77KAL,RETRACTOR ENT,RETRACTEUR ORL
77KCB,TUBE TONSIL SUCTION,TUBE D'ASPIRATION POUR AMYGDALES
77KCO,INHALER NASAL,INHALATEUR NASAL
77LFB,BUTTON NASAL SEPTUM,BOUTON SEPTAL
77MCK,DEVICE VOICE AMPLIFICATION,AMPLIFICATEUR VOCAL
77QFC,CABINET ENT TREATMENT,ARMOIRE POUR CABINET MEDICAL ORL
77RQB,RHINOSCOPE,RHINOSCOPE
77TCR,KIT IRRIGATION ORAL,TROUSSE D'IRRIGATION BUCCALE
77WOT,BATTERY HEARING-AID,PILE POUR APPAREIL AUDITIF
78ABG,STENT PANCREATIC,ENDOPROTHESE PANCREATIQUE
78ATV,PORT GASTROSTOMY FEED,PORT D'ALIMENTATION POUR GASTROSTOMIE
78FAM,SIGMOIDOSCOPE FLEXIBLE,SIGMOIDOSCOPE SOUPLE
78FBM,CANNULA AND TROCAR SUPRAPUBLIC NON-DISPOSABLE,CANULE ET TROCART SUSPUBIENS REUTILISABLES
78FCI,PUNCH BIOPSY,PINCE EMPORTE-PIECE POUR BIOPSIE
78FEG,TUBE DOUBLE LUMEN FOR INTESTINAL DECOMPRESSION AND/ORINTUBATION,TUBE A DOUBLE LUMIERE POUR DECOMPRESSION ET/OU INTUBATION INTESTINALE
78FFT,ELECTRODE PH STOMACH,ELECTRODE INDICATRICE DE PH POUR L'ESTOMAC
78FGB,URETEROSCOPE,URETEROSCOPE
78FHO,NEEDLE PNEUMOPERITONEUM SPRING LOADED,AIGUILLE A PNEUMOPERITOINE A RESSORT
78FHS,DIALYZER SINGLE COIL,DIALYSEUR A BOBINE UNIQUE
78FJL,RESECTOSCOPE,RESECTOSCOPE
78FKK,CLAMP LINE,SERRE-TUBE
78FKT,SYSTEM DIALYSATE DELIVERY SORBENT REGENERATED,SYSTEME DE DISTRIBUTION DU DIALYSAT AVEC REGENERATION DE SORBANT
78KGE,FORCEPS BIOPSY ELECTRIC,PINCE A BIOPSIE ELECTRIQUE
78KNQ,DILATOR ESOPHAGEAL,DILATATEUR OESOPHAGIEN
78KNW,INSTRUMENT BIOPSY,INSTRUMENT A BIOPSIE
78KOA,SURGICAL INSTRUMENT G-U MANUAL (AND ACCESSORIES),INSTRUMENT CHIRURGICAL MANUEL (ET ACCESSOIRES) GASTRO-UROLOGIE
78KOC,ACCESSORY BLOOD CIRCUIT HEMODIALYSIS,ACCESSOIRE POUR CIRCUIT SANGUIN POUR HEMODIALYSE
78LFK,CATHETER FEMORAL,CATHETER FEMORAL
